DATE,VALUE,MA,CH3M
2017-01-01,21.82,21.76666666666667,2.2989352751683567
2017-02-01,21.84,21.80666666666667,2.294658200977784
2017-03-01,21.88,21.846666666666664,2.1649258245162395
2017-04-01,21.94,21.886666666666667,2.223509866980078
2017-05-01,21.97,21.929999999999996,2.2815701650860776
2017-06-01,22.02,21.97666666666667,2.401555754624529
2017-07-01,22.07,22.02,2.45915358490163
2017-08-01,22.1,22.063333333333333,2.454250066056818
2017-09-01,22.18,22.116666666666664,2.5726098530848063
2017-10-01,22.18,22.153333333333336,2.444128057860495
2017-11-01,22.23,22.19666666666667,2.4392842156587546
2017-12-01,22.3,22.236666666666668,2.18803634980671
2018-01-01,22.36,22.296666666666667,2.613248368946963
2018-02-01,22.41,22.356666666666666,2.914641561427267
2018-03-01,22.49,22.419999999999998,3.338865487195486
2018-04-01,22.55,22.483333333333334,3.391070555569109
2018-05-01,22.6,22.546666666666667,3.4430150302480644
2018-06-01,22.66,22.603333333333335,3.3112284315168106
2018-07-01,22.7,22.653333333333336,3.05893845529992
2018-08-01,22.78,22.713333333333335,2.9897778158079813
2018-09-01,22.86,22.78,3.1632274049490983
2018-10-01,22.89,22.843333333333334,3.3973591036074335
2018-11-01,23.0,22.916666666666668,3.62923521833467
2018-12-01,23.11,23.0,3.9193604020319572
2019-01-01,23.13,23.08,4.209019474471587
2019-02-01,23.19,23.14333333333333,4.015449694404372
2019-03-01,23.29,23.203333333333333,3.5834023818658522
2019-04-01,23.33,23.27,3.333779721299779
2019-05-01,23.4,23.34,3.4426802240671517
2019-06-01,23.48,23.403333333333332,3.4926141596113736
2019-07-01,23.53,23.47,3.482479293070262
2019-08-01,23.61,23.540000000000003,3.471900788893967
2019-09-01,23.68,23.606666666666666,3.520842434063698
2019-10-01,23.75,23.679999999999996,3.6273598939307705
2019-11-01,23.83,23.75333333333333,3.6746121074979987
2019-12-01,23.84,23.80666666666667,3.432183691880386
2020-01-01,23.91,23.86,3.0753848839012665
2020-02-01,24.03,23.926666666666666,2.950993954246006
2020-03-01,24.13,24.02333333333333,3.6904370022281086
2020-04-01,25.14,24.433333333333334,9.963643794989952
2020-05-01,24.98,24.75,14.491175922039567
2020-06-01,24.78,24.96666666666667,16.65656453140041
2020-07-01,24.69,24.816666666666666,6.42481644082189
2020-08-01,24.8,24.75666666666667,0.10778764853489609
2020-09-01,24.82,24.77,-3.1138330693057825
2020-10-01,24.84,24.820000000000004,0.05373815959948125
2020-11-01,24.95,24.87,1.8437692646767312
2020-12-01,25.17,24.986666666666668,3.5450319133710773
2021-01-01,25.17,25.096666666666664,4.533877728648661
2021-02-01,25.26,25.200000000000003,5.4141769043817956
2021-03-01,25.35,25.26,4.447991302370635
2021-04-01,25.51,25.373333333333335,4.483071205864597
2021-05-01,25.68,25.513333333333332,5.067076839407636
2021-06-01,25.81,25.666666666666668,6.596880856001852
2021-07-01,25.96,25.816666666666666,7.174278847976878
2021-08-01,26.11,25.959999999999997,7.188931032735657
2021-09-01,26.3,26.123333333333335,7.309083672384498
2021-10-01,26.46,26.290000000000003,7.537930605607301
2021-11-01,26.56,26.44,7.603661781851789
2021-12-01,26.76,26.593333333333334,7.393189505440012
2022-01-01,26.91,26.743333333333336,7.077890197695913
2022-02-01,26.98,26.883333333333336,6.877593076489252
2022-03-01,27.12,27.003333333333334,6.311048343827164
2022-04-01,27.28,27.12666666666667,5.857972884055962
2022-05-01,27.4,27.266666666666666,5.826815520810258
2022-06-01,27.53,27.403333333333332,6.058154101759072
2022-07-01,27.66,27.53,6.08137062046612
2022-08-01,27.74,27.643333333333334,5.641229443023721
2022-09-01,27.85,27.75,5.157045562096663
2022-10-01,28.0,27.863333333333333,4.9318757844829975
2022-11-01,28.12,27.99,5.111431616596351
2022-12-01,28.23,28.116666666666664,5.390964488158656
2023-01-01,28.31,28.22,5.219384171478381
2023-02-01,28.43,28.323333333333334,4.849378442662178
2023-03-01,28.59,28.44333333333333,4.7289223787839285
2023-04-01,28.69,28.570000000000004,5.054080007887007
2023-05-01,28.78,28.686666666666667,5.230805308844388
2023-06-01,28.89,28.786666666666665,4.916441528771864
2023-07-01,29.02,28.896666666666665,4.652602151996588
2023-08-01,29.06,28.99,4.297167328300144
2023-09-01,29.16,29.08,4.138685865696612
2023-10-01,29.27,29.163333333333338,3.7427257021582783
2023-11-01,29.38,29.27,3.919734454256285
2023-12-01,29.48,29.376666666666665,4.143568039767587
2024-01-01,29.61,29.49,4.556357002829214
2024-02-01,29.67,29.58666666666667,4.398261264791881
2024-03-01,29.8,29.69333333333333,4.382033434396537
2024-04-01,29.85,29.773333333333337,3.898851889478827
2024-05-01,29.97,29.873333333333335,3.9323109676697277
2024-06-01,30.07,29.963333333333335,3.687090520413916
2024-07-01,30.17,30.069999999999997,4.045637060090912
2024-08-01,30.27,30.169999999999998,4.0318930334085845
2024-09-01,30.38,30.273333333333337,4.20305904501197
2024-10-01,30.49,30.38,4.187919474913704
2024-11-01,30.58,30.48333333333333,4.21940266459464
2024-12-01,30.67,30.580000000000002,4.11395703584736
2025-01-01,30.8,30.683333333333334,4.054070569919355
2025-02-01,30.89,30.786666666666665,4.040123183986499
